user_id,username,display_name,followers_count
109363522574341875,auschwitzmuseum,Auschwitz Memorial,91584
84340,Curator,Mastodon•ART 🎨 Curator,59884
108201902575564259,SocraticEthics,Ukraine War Bulletins and News,58125
109326835262387025,internetarchive,internetarchive,49711
109366313013490971,signalapp,Signal,48427
109594194732886072,amministratore,mastodon uno admin :mastodon:,32932
109267174084213669,mastodonmigration,Mastodon Migration,31124
109299887246013252,9to5Mac,9to5Mac,25104
109411393848323653,MicroSFF,Micro SF/F by O. Westin,23890
178209,xkcd,XKCD Bot,20225
109309344382901773,CountBinface,Count Binface,16862
109263262559062343,NOSRSS,Nieuws | NOS,16090
109309486936194554,foksuk,De dagelijkse Fokke & Sukke,12285
322567,admin,admin - mastodon.bida.im,11924
109546135939235097,volkskrant,De Volkskrant,10742
109907893290109084,IceCubesApp,IceCubesApp,9426
109284831679285382,nrc_nl,NRC,8411
819433,trumpet,trumpet@mastodon.scot,7754
109589377340689628,mwadmin,Mastodon.world admins,7074
109395156742614671,exocomics,Li Chen,5736
109383807421555701,slashdot,Slashdot :verified:,5240
106305733694999368,futuroprossimo,Futuro Prossimo :verified:,5139
109290001658931918,bbcmicrobot,BBC Micro Bot :mastodon:,5126
109285787931274760,mastodonie,Mastodon.ie,4830
109284790136581046,blenderartists,Blender Artists,4613
110333636703787179,9to5google,9to5Google.com,4371
109365706610600259,2600,2600 Magazine,4345
108208722340916022,niebezpiecznik,Niebezpiecznik :verified:,4302
109443519526780672,NunlRSS,Nieuws | NU.nl,4150
109312637406273079,GetCarter,Steve Carter,3847
110426868231239731,rms,Richard Stallman,3816
109319693933263785,support,mastodon.nl support,3424
109616361835958711,shodan,Shodan,3318
1224824,xkcd,XKCD Bot,3095
109392708061174636,GiorgiaMecojoni,Giorgia Mecojoni :verified:,3058
109291773948832999,phastidio,Mario Seminerio :mastodon:,2891
1210808,rf,Rоссийская🐻Fедерация,2806
284699,mastodontcat,Mastodont.CAT :senyera:,2408
1211965,fediverse,fediverse's stats,2391
109327511405593618,PoliticalCartoon,Political Cartoon Gallery,2040
1288090,AmbrosTheGreat,Sasha 🐘 :mastodon:,1458
109307412614668918,admin,Mastodon Belgium Admin,997
110697787375265432,MastodonDE,mastodon.de :MastodonDE:​,768
149259,Nitrux_NX,Nitrux :mastodon:,744
108199209138990792,aadbrinkman,Aad Brinkman :mastodon:,637
110057918532591723,mastodon,Mastodon Statistics,607
143357,monkeyninja,Noah Krohn :mastodon:,479
109355088897306226,mastodon_releases,Mastodon Releases,392
109387601720505189,mastodonindians,MastodonIndians group,375
108206125676908350,naixke,Naixke :mastodon:,350
109320709107105075,devuego,DeVuego :mastodon:,340
109299803808679610,bandit,James Nisbet :mastodon:,305
109388852425916163,Hardlopertje,Andrea uit Gouda  :mastodon:,304
108245214595170396,mastodonien,mastodonien.de :mastodon:,293
109382620344958407,mastodon,The Mastodon :sgflag:,283
1346690,finances,Finances de mastodont.cat,248
109760095415557272,actualidadiphone,Actualidad iPhone :mastodon:,221
1019097,versions,Mastodon versions,208
1369363,spaceotter,spaceotter :mastodon: 🏳️‍🌈,201
109724282103462043,luispadillablog,Luis Padilla :mastodon:,183
108200392816284895,out,⭕UT :mastodon:,181
755007,mastodonheadlinenews,Mastodon Headline News,174
110362186410534235,johnmastodon,John Mastodon,171
109342609913733068,smartfilming,@smartfilming :mastodon:,167
109528950026861907,trending,Trending on Mastodon,161
109270798899683557,mastodon,Ivan Babrou,125
109302270840217368,Paoblog,Oloap :mastodon:,94
107617256487688845,mastodonleague,mastodonleague group,77
109669736670249019,MastodonPolizei,Mastodon Polizei,70
112292358597498840,vcerejsi,Včerejší Mastodonczech,66
121762,uri_herrera,Uri Herrera :mastodon:,56
111257509254022603,announcements,Admin Team mastodon.africa,31
110856144452369511,mastodonbooks,mastodonbooks group,30
111994945297611767,mastodon_mobile_apps,Mastodon Mobile App Releases,20
111924723791709962,mastodoness,mastodoness,19
111692571889994335,MastodonHamburg,Mastodon.Hamburg,16
111959407129957684,status,System MASTODON.K9MAX.DE,12
110179023845507551,admin,mastodon.dgfp.club admin,10
109483660681734423,mastodon_social,mastodon.social (Statistik),6
110680483027073537,server,Mastodon HexIx Server,3
